I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-9, 4, 14, 2, -12, 9, 4, -29, -24, -43, -43, -73, 
-9, 4, 14, 2, -12, 9, 4, -29, -29, -43, -43, -73, 
-9, 0, 9, 4, -9, 4, 0, -29, -29, -43, -48, -78, 
-4, 0, 4, 2, -4, 2, 0, -34, -29, -43, -48, -82, 
-4, -9, -4, 7, 0, -7, 0, -34, -43, -43, -48, -82, 
-4, -14, -9, 9, 2, -12, 4, -34, -43, -48, -48, -82, 
-4, -14, -9, 9, 2, -12, 4, -29, -43, -48, -48, -82, 
-4, -14, -9, 9, 2, -12, 4, -29, -39, -48, -53, -82, 
-4, -9, -4, 7, 0, -7, -4, -39, -39, -48, -63, -82, 
-4, -9, -4, 7, 0, -7, -4, -39, -39, -48, -63, -82, 
-4, -9, -4, 7, 0, -7, -4, -39, -34, -43, -58, -87, 
-4, -9, -4, 7, 0, -7, -4, -39, -34, -43, -58, -87, 
-4, -9, -4, 7, 0, -7, 0, -34, -43, -43, -58, -87, 
-4, -9, -4, 7, 0, -7, 0, -34, -39, -43, -53, -82, 
-4, -19, -14, 12, 4, -17, 4, -34, -39, -43, -53, -82, 
-4, -19, -14, 12, 4, -17, 4, -29, -39, -43, -53, -78, 
-4, -4, 0, 4, -2, -2, 4, -29, -24, -43, -48, -73, 
-4, -4, 0, 4, -2, -2, 4, -29, -24, -39, -48, -73, 
-4, -4, 0, 4, -2, -2, 4, -29, -24, -34, -48, -73, 
-9, -4, 4, 7, -7, 0, 4, -24, -24, -29, -48, -73, 
-9, -9, 0, 9, -4, -4, 4, -24, -19, -19, -34, -73, 
-9, -14, -4, 12, -2, -9, 4, -24, -19, -19, -29, -73, 
-9, -19, -9, 14, 0, -14, 4, -19, -19, -14, -24, -68, 
-9, -24, -14, 17, 2, -19, 9, -19, -19, -14, -24, -63, 
0, -14, -14, 7, 7, -14, 9, -19, -14, -24, -24, -63, 
0, -14, -14, 7, 7, -14, 9, -19, -14, -24, -24, -58, 
0, -14, -14, 7, 7, -14, 9, -19, -14, -24, -24, -58, 
0, -14, -14, 7, 7, -14, 9, -14, -9, -14, -19, -58, 
0, -4, -4, 2, 2, -4, 0, -14, -9, 0, -4, -53, 
0, -4, -4, 2, 2, -4, 0, -14, -9, 0, 0, -43, 
0, -4, -4, 2, 2, -4, 0, -14, -4, 4, 4, -39, 
0, -4, -4, 2, 2, -4, 0, -9, 0, 4, 4, -29, 
-9, -9, 0, 9, -4, -4, 0, -9, 0, -4, -4, -39, 
-9, -14, -4, 12, -2, -9, 4, -9, 4, 0, -4, -39, 
-9, -14, -4, 12, -2, -9, 4, -4, 4, 9, -4, -39, 
-14, -19, -4, 17, -4, -12, 0, -4, 4, 9, 0, -39, 
-4, -19, -14, 12, 4, -17, 0, -4, -4, 0, 4, -39, 
-4, -19, -14, 12, 4, -17, 4, 0, -4, 4, 9, -34, 
-4, -19, -14, 12, 4, -17, 4, 0, -4, 4, 9, -29, 
-4, -19, -14, 12, 4, -17, 4, 0, 4, 4, 14, -24, 
0, -9, -9, 4, 4, -9, 9, 4, -4, 14, 24, -24, 
0, -9, -9, 4, 4, -9, 9, 4, -4, 14, 24, -24, 
0, -9, -9, 4, 4, -9, 9, 4, -4, 19, 19, -24, 
0, -9, -9, 4, 4, -9, 4, 4, -4, 19, 19, -29, 
0, -19, -19, 9, 9, -19, 14, -4, 4, 9, 19, -29, 
0, -19, -19, 9, 9, -19, 19, 0, 4, 9, 19, -29, 
0, -19, -19, 9, 9, -19, 19, 0, 4, 9, 24, -29, 
-4, -19, -14, 12, 4, -17, 19, 4, 4, 9, 24, -24, 
-4, -19, -14, 12, 4, -17, 19, 4, 4, 9, 24, -14, 
0, -9, -9, 4, 4, -9, 19, 9, 9, 9, 29, -9, 
0, -9, -9, 4, 4, -9, 19, 9, 9, 19, 19, -19, 
0, -9, -9, 4, 4, -9, 19, 9, 9, 19, 19, -19, 
0, -9, -9, 4, 4, -9, 19, 9, 9, 19, 19, -19, 
0, -9, -9, 4, 4, -9, 19, 9, 9, 19, 19, -19, 
0, -14, -14, 7, 7, -14, 19, 14, 14, 19, 34, -19, 
0, -14, -14, 7, 7, -14, 19, 14, 19, 19, 34, -14, 
0, -14, -14, 7, 7, -14, 19, 14, 19, 24, 34, -14, 
0, -14, -14, 7, 7, -14, 19, 14, 19, 24, 29, -14, 
14, -4, -19, -4, 17, -12, 24, 24, 9, 34, 29, -4, 
